input_0,input_1,input_2,input_3,output
1.0,27.89,1.0,-95.0,1.0
1.0,-44.99,2.0,-55.36,2.0
1.0,47.29,3.0,35.34,3.0
1.0,78.44,4.0,-82.61,4.0
1.0,-15.62,5.0,-94.04,5.0
2.0,-56.27,1.0,1.07,2.0
2.0,-94.69,2.0,-60.23,4.0
2.0,29.98,3.0,8.99,6.0
2.0,-55.91,4.0,17.85,8.0
2.0,61.89,5.0,-98.7,10.0
3.0,61.16,1.0,39.63,3.0
3.0,-31.95,2.0,-68.9,6.0
3.0,91.44,3.0,-32.68,9.0
3.0,-81.45,4.0,-80.66,12.0
3.0,69.5,5.0,20.75,15.0
4.0,61.43,1.0,45.95,4.0
4.0,7.25,2.0,94.62,8.0
4.0,-24.29,3.0,10.41,12.0
4.0,65.88,4.0,23.7,16.0
4.0,72.34,5.0,15.47,20.0
5.0,40.91,1.0,-90.84,5.0
5.0,-54.42,2.0,-42.12,10.0
5.0,-84.04,3.0,-53.44,15.0
5.0,-79.8,4.0,-44.41,20.0
5.0,27.14,5.0,-27.03,25.0
