input_0,input_1,input_2,input_3,output
-57.8,1.0,88.58,1.0,9.81
75.27,1.0,-37.06,2.0,19.62
31.09,1.0,-20.87,3.0,29.43
82.91,1.0,-8.23,4.0,39.24
-47.02,1.0,-50.67,5.0,49.05
12.27,2.0,-47.45,1.0,19.62
16.92,2.0,79.56,2.0,39.24
-20.12,2.0,-56.14,3.0,58.86
99.51,2.0,1.91,4.0,78.48
-81.82,2.0,-90.58,5.0,98.1
-78.07,3.0,25.49,1.0,29.43
58.42,3.0,-15.57,2.0,58.86
-87.29,3.0,-23.68,3.0,88.29
99.22,3.0,5.82,4.0,117.72
94.22,3.0,72.16,5.0,147.15
-97.7,4.0,44.14,1.0,39.24
36.34,4.0,7.39,2.0,78.48
-46.63,4.0,28.19,3.0,117.72
-77.69,4.0,-13.05,4.0,156.96
-9.26,4.0,90.76,5.0,196.2
75.17,5.0,-47.32,1.0,49.05
0.12,5.0,-64.27,2.0,98.1
82.53,5.0,74.1,3.0,147.15
-40.31,5.0,27.79,4.0,196.2
21.79,5.0,-69.43,5.0,245.25
