input_0,input_1,input_2,output
1.0,1.0,1.0,10.31
1.0,1.0,2.0,20.12
1.0,2.0,1.0,11.81
1.0,2.0,2.0,21.62
1.0,3.0,1.0,14.31
1.0,3.0,2.0,24.12
1.0,4.0,1.0,17.81
1.0,4.0,2.0,27.62
1.0,5.0,1.0,22.31
1.0,5.0,2.0,32.12
2.0,1.0,1.0,20.62
2.0,1.0,2.0,40.24
2.0,2.0,1.0,23.62
2.0,2.0,2.0,43.24
2.0,3.0,1.0,28.62
2.0,3.0,2.0,48.24
2.0,4.0,1.0,35.62
2.0,4.0,2.0,55.24
2.0,5.0,1.0,44.62
2.0,5.0,2.0,64.24
3.0,1.0,1.0,30.93
3.0,1.0,2.0,60.36
3.0,2.0,1.0,35.43
3.0,2.0,2.0,64.86
3.0,3.0,1.0,42.93
3.0,3.0,2.0,72.36
3.0,4.0,1.0,53.43
3.0,4.0,2.0,82.86
3.0,5.0,1.0,66.93
3.0,5.0,2.0,96.36
