input_0,input_1,input_2,input_3,input_4,output
1.0,52.5,1.0,7.88,1.0,10.31
1.0,55.73,1.0,6.07,2.0,20.12
1.0,-99.89,2.0,-35.17,1.0,11.81
1.0,-96.1,2.0,85.82,2.0,21.62
1.0,75.74,3.0,66.33,1.0,14.31
1.0,-38.5,3.0,-88.41,2.0,24.12
1.0,75.6,4.0,89.39,1.0,17.81
1.0,-82.87,4.0,-2.8,2.0,27.62
1.0,-86.16,5.0,52.12,1.0,22.31
1.0,53.17,5.0,-74.32,2.0,32.12
2.0,-4.94,1.0,9.96,1.0,20.62
2.0,-46.99,1.0,74.49,2.0,40.24
2.0,-15.37,2.0,-57.64,1.0,23.62
2.0,7.86,2.0,45.99,2.0,43.24
2.0,-59.77,3.0,-37.66,1.0,28.62
2.0,99.03,3.0,29.98,2.0,48.24
2.0,-12.38,4.0,3.52,1.0,35.62
2.0,-75.8,4.0,-55.06,2.0,55.24
2.0,-32.38,5.0,17.66,1.0,44.62
2.0,-53.98,5.0,-55.96,2.0,64.24
3.0,-85.8,1.0,26.22,1.0,30.93
3.0,-54.21,1.0,81.08,2.0,60.36
3.0,71.93,2.0,-85.83,1.0,35.43
3.0,-52.4,2.0,33.8,2.0,64.86
3.0,-57.15,3.0,-73.54,1.0,42.93
3.0,87.1,3.0,14.21,2.0,72.36
3.0,-5.47,4.0,56.92,1.0,53.43
3.0,61.5,4.0,-61.92,2.0,82.86
3.0,-80.61,5.0,-13.79,1.0,66.93
3.0,-15.28,5.0,-6.6,2.0,96.36
